GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
logisticaTerrestre,practica1.vehiculos,Coche,19,20,0,0,9,7,6,3,6,3
logisticaTerrestre,practica1,Node,155,0,0,0,48,0,22,0,22,0
logisticaTerrestre,practica1,AstarSearch,10,0,0,0,3,0,2,0,2,0
logisticaTerrestre,practica1,AStar,454,0,48,0,110,0,31,0,7,0
logisticaTerrestre,practica1,Graph,449,0,34,0,96,0,28,0,11,0
